ID;Name;Direction1;Direction2;Coordinates
23001;Tie 7 Porvoo, Rita;NA;Helsinki;[25.689528526505185, 60.41700181416823, 0.0]
23003;Tie 51 Espoo, Kivenlahti;Kirkkonummi;Helsinki;[24.664458755024924, 60.15350217940352, 0.0]
23004;L_vt3_Kivistö;Hämeenlinna;Helsinki;[24.84950085238505, 60.30000012018926, 0.0]
23005;L_vt3_Klaukkalantie;Hämeenlinna;Helsinki;[24.808790916505338, 60.35465602687128, 0.0]
23006;Tie 102 Hiidenkallio;Karamalmi;Matinkylä;[24.74688196775559, 60.211600760521755, 0.0]
23098;Tie 51 Espoo, Piispansilta;Kirkkonummi;Helsinki;[24.737300982063847, 60.16385706314166, 0.0]
23099;Tie 4 Järvenpää, Isokytö;Lahti;Helsinki;[25.138240446628398, 60.48298599930416, 0.0]
23101;Tie 51 Hanasaari;Espoo;Helsinki;[24.84874372980404, 60.16497710569234, 0.0]
23102;Tie 51 Soukka;Kirkkonummi;Helsinki;[24.639432328034932, 60.15622942848687, 0.0]
23103;Tie 1 Huopalahti;Turku;Helsinki;[24.843448405327397, 60.20615535275292, 0.0]
23104;Tie 1 Palojärvi;Turku;Helsinki;[24.34781417579191, 60.294136988398456, 0.0]
23105;Tie 110 Hiidenvesi;Turku;Helsinki;[24.134284604302128, 60.370633162725454, 0.0]
23106;Tie 2 Huhmari;Pori;Helsinki;[24.33894861436565, 60.3234713392903, 0.0]
23107;Tie 3 Kaivoksela;Hämeenlinna;Helsinki;[24.874943159075418, 60.26969104019966, 0.0]
23108;Tie 3 Karhunkorpi;Hämeenlinna;Helsinki;[24.851740140616265, 60.49642670587269, 0.0]
23109;Tie 4 Jakomäki;Mäntsälä;Helsinki;[25.067560496317288, 60.25473400817955, 0.0]
23110;Tie 4 Mäntsälä;Lahti;Helsinki;[25.23457600981687, 60.59124742221707, 0.0]
23111;Tie 6 Liljendal;Kouvola;Porvoo;[26.049543250490636, 60.557843044404954, 0.0]
23112;Tie 7 Porvoo, Treksilä;Porvoo;Helsinki;[25.52801136585574, 60.355937486242794, 0.0]
23114;Tie 25 Virkkala;Hanko;Lohja;[24.01913343336912, 60.20368435771347, 0.0]
23115;Tie 55 Saksala;Mäntsälä;Porvoo;[25.58122537893744, 60.413602404381756, 0.0]
23116;Tie 101 Leppävaara;NA;NA;[24.81629531490896, 60.21336383221738, 0.0]
23117;Tie 1 Munkkiniemi;Turku;Helsinki;[24.873178434470283, 60.20298882572156, 0.0]
23119;Tie 7 Helsinki, Itäsalmi;Porvoo;Helsinki;[25.166376775076618, 60.26190175263205, 0.0]
23121;Tie 11888 Liljendal;Kouvola;Porvoo;[26.023439736650207, 60.55197997296047, 0.0]
23122;Tie 2 Karkkila;Pori;Helsinki;[24.150132916280544, 60.57358842052125, 0.0]
23123;Tie 120 Pähkinärinne;Vihti;Helsinki;[24.830898679684932, 60.25188567072701, 0.0]
23124;Tie 25 Dragsvik;Hanko;Lohja;[23.513728800130824, 59.99916940996219, 0.0]
23125;Tie 50 Bemböle;Vantaa;Kirkkonummi;[24.607930050721702, 60.2035883610019, 0.0]
23126;Tie 101 Konala;NA;NA;[24.841389915515666, 60.230059399902856, 0.0]
23127;Tie 45 Tuusula, Rusutjärvi;Hyvinkää;Vantaa;[24.98700184288576, 60.43423795406116, 0.0]
23128;Tie 50 Voutila;Vantaa;Espoo;[24.879306581309162, 60.29781160412195, 0.0]
23129;Tie 25 Vihti, Selki;Vihti;Hyvinkää;[24.527556602549854, 60.458688322501715, 0.0]
23130;Tie 25 Mäntsälä, Keravanjä;Hyvinkää;Mäntsälä;[25.092300412577256, 60.617151854335944, 0.0]
23131;Tie 45 Tammisto;Tuusula;Helsinki;[24.95492986591187, 60.25676489633896, 0.0]
23133;Tie 25 Hyvinkää, Noppo;Hyvinkää;Mäntsälä;[24.833016589750766, 60.581020247488155, 0.0]
23134;Tie 51 Inkoo;Karjaa;Kirkkonummi;[24.07524363174908, 60.06043801349141, 0.0]
23135;Tie 170 Ilola;Koskenkylä;Porvoo;[25.735009070500936, 60.45324388525627, 0.0]
23136;Tie 140 Arola;Mäntsälä;Helsinki;[25.19155398299901, 60.54589407066638, 0.0]
23137;Tie 3 Keimola;Hämeenlinna;Helsinki;[24.82544444761559, 60.32645610967636, 0.0]
23138;Tie 120 Odilampi;Vihti;Helsinki;[24.745301472161554, 60.30528769625621, 0.0]
23139;Tie 1 Nupuri;Turku;Helsinki;[24.59687874199736, 60.22809165609617, 0.0]
23140;Tie 50 Järvenperä;Vantaa;Espoo;[24.695583768113647, 60.23882583886837, 0.0]
23141;Tie 7 Sipoo, Box;Porvoo;Helsinki;[25.411283056541578, 60.31517000630267, 0.0]
23142;Tie 4 Mäntsälä, Levanto;Lahti;Helsinki;[25.44844482883681, 60.73611787612423, 0.0]
23143;Tie 51 Sundsberg;Kirkkonummi;Helsinki;[24.55276679243212, 60.14121748877155, 0.0]
23144;Tie 1 Friisinmäki;Turku;Helsinki;[24.794646651822344, 60.20779580938185, 0.0]
23145;Tie 101 Kannelmäki;Itäkeskus;Tapiola;[24.879279461366036, 60.234541796053115, 0.0]
23146;Tie 101 Länsi-Pakila;NA;NA;[24.91915088533089, 60.2395473394807, 0.0]
23147;Tie 101 Pakila;Itäkeskus;Tapiola;[24.93714001506793, 60.24190304701852, 0.0]
23148;Tie 101 Pukinmäki;Itäkeskus;Tapiola;[24.981350414395447, 60.24156802648453, 0.0]
23149;Tie 101 Malmi;NA;NA;[25.029364268232175, 60.241346673980566, 0.0]
23150;Tie 50 Vantaanportti;Vantaa;Espoo;[24.97352295678667, 60.29017472561315, 0.0]
23151;Tie 120 Pitäjänmäki;Vantaa;Helsinki;[24.878372853303475, 60.22426079526654, 0.0]
23152;Tie 3 Pirkkola;Tampere;Helsinki;[24.907502347628586, 60.22646602614336, 0.0]
23153;Tie 45 Oulunkylä;Tuusula;Helsinki;[24.945213548784206, 60.22405558683668, 0.0]
23154;Tie 4 Viikinmäki;Lahti;Helsinki;[24.98770948780548, 60.22272209561321, 0.0]
23155;Tie 170 Kulosaari;NA;Helsinki;[24.99464085417356, 60.185804224183975, 0.0]
23156;Tie 51 Jorvas;Hanko;Helsinki;[24.492013704081483, 60.12764750007035, 0.0]
23158;Tie 170 Hagaböle;Loviisa;Porvoo;[25.99755964435275, 60.48731718949169, 0.0]
23159;Tie 50 Petikko;Vantaa;Espoo;[24.8140616509756, 60.277262639799446, 0.0]
23160;Tie 50 Heidehof;Vantaa;Espoo;[25.046373561709576, 60.280605079792466, 0.0]
23162;Tie 102 Olarinluoma;Matinkylä;Länsiväylä;[24.75570596892536, 60.17598215697816, 0.0]
23163;Tie 102 Kokinkylä;Turunväylä;Länsiväylä;[24.746484430830414, 60.190826458703214, 0.0]
23164;Tie 3 Kivihaka;Hämeenlinna;Helsinki;[24.90154942668373, 60.21196483730028, 0.0]
23165;Tie 3 Hakuninmaa;Hämeenlinna;Helsinki;[24.877246229754096, 60.25982070238397, 0.0]
23167;Tie 1 Espoo, Sepänkylä;Turku;Helsinki;[24.740567534120732, 60.203157542965656, 0.0]
23168;Tie 50 Askisto;Vantaa;Espoo;[24.7765129350643, 60.273279792104006, 0.0]
23169;Tie 50 Pakkala;Vantaa;Espoo;[24.943319791943978, 60.29574627113834, 0.0]
23172;Tie 7 Helsinki, Bäcknäs;Porvoo;Helsinki;[25.245947249083493, 60.27472405483683, 0.0]
23175;Tie 1, Espoo, Lommila;Turku;Helsinki;[24.66116452704583, 60.215560059935804, 0.0]
23176;Tie 7 Sipoonlahti;Porvoo;Helsinki;[25.317951333821963, 60.2803705055082, 0.0]
23177;Tie 7 Sipoo, Kallbäck;Porvoo;Helsinki;[25.34103371987934, 60.2888333345567, 0.0]
23178;Tie 7 Sipoo, Kulloo;Porvoo;Helsinki;[25.450134599571545, 60.32281309718931, 0.0]
23179;Tie 7 Länsimäentie;Porvoo;Helsinki;[25.11155803042504, 60.25426253327886, 0.0]
23182;Tie 50 Hakunila;Porvoo;Espoo;[25.098008055777996, 60.27132236684158, 0.0]
23183;Tie 50 Järvenperä 2;Vantaa;Espoo;[24.714007386284155, 60.25209740623177, 0.0]
23184;Tie 7 Porvoo_Uusikrouvi;NA;Helsinki;[25.749594708133046, 60.425669946868815, 0.0]
23185;Tie 7 Porvoo_Lohijärvi;Kotka;Helsinki;[25.84038432254735, 60.45562086797289, 0.0]
23186;Tie 7 Loviisa_Gammelbyviken;Loviisa;NA;[25.913508333654544, 60.49040360705974, 0.0]
23187;Tie 7 Loviisa_Kärrbacka;Loviisa;NA;[26.118633701156696, 60.47309592490248, 0.0]
23188;Tie 7 Loviisa;Kotka;NA;[26.212551824039267, 60.465377817693074, 0.0]
23189;Tie 7 Loviisa_Itä;Kotka;Loviisa;[26.278493858093505, 60.47918343093332, 0.0]
23190;Tie 7 Porvoo, Ernestas;Porvoo;Helsinki;[25.59832060375721, 60.380907268094354, 0.0]
23191;Tie 1 Espoo, Kolmiranta;Turku;Helsinki;[24.50064960750432, 60.257718677191136, 0.0]
23192;Tie 1 Veikkola;Turku;Helsinki;[24.416719112146005, 60.28722137469132, 0.0]
23193;Tie 1 Hevoskallio;Lohja;Helsinki;[24.2531937065323, 60.30229367339728, 0.0]
23194;Tie 1 Lohja, Lehmijärvi;Lohja;Helsinki;[24.158550881764366, 60.28802971128431, 0.0]
23195;Tie 103, Satamatie;Porvoo;Espoo;[25.153665827283543, 60.24110455646711, 0.0]
23196;Helsinki, Niinisaarentie;Porvoo;Espoo;[25.158890566407848, 60.22075367818712, 0.0]
23197;Tie 100, Hakamäen tunneli;NA;NA;[24.90847755379971, 60.20832879229556, 0.0]
23198;Tie 7 Porvoo;Lappeenranta;Helsinki;[25.631167560965405, 60.404354738511536, 0.0]
23201;Tie 110 Muurla;Turku;Helsinki;[23.357739082622547, 60.36803703849113, 0.0]
23203;Tie 3 Hämeenkyrö;Hämeenkyrö;Ylöjärvi;[23.429460142764167, 61.58513961796931, 0.0]
23204;Tie 3 Ikaalinen;Parkano;Ikaalinen;[22.97587539896517, 61.912380794972215, 0.0]
23205;Tie 8 Raisio;Rauma;Turku;[22.15919854520381, 60.50303923037901, 0.0]
23206;Tie 8 Pyhäranta;Rauma;Turku;[21.586274818369898, 60.98693431545002, 0.0]
23207;Tie 8 Pori;Vaasa;Pori;[21.80944153889219, 61.544747355596655, 0.0]
23208;Tie 9 Aura;Tampere;Turku;[22.468600557769342, 60.593513417785594, 0.0]
23209;Tie 10 Marttila;Hämeenlinna;Turku;[22.9233769081181, 60.61491792075378, 0.0]
23210;Tie 12 Vammala;Vammala;Huittinen;[22.838086380512753, 61.31532768032647, 0.0]
23211;Tie 12 Lappi tl;Lappi TL;Rauma;[21.728833556139985, 61.11246136814346, 0.0]
23221;Tie 2 Nakkila;Pori;Helsinki;[21.987404865499744, 61.36616607446038, 0.0]
23223;Tie 8 Eurajoki;Pori;Rauma;[21.627912655531066, 61.170103119794916, 0.0]
23224;Tie 11 Kullaa;Pori;Tampere;[22.38538611172488, 61.47233633449479, 0.0]
